Date,Open,High,Low,Close
01/20/2023,"17,498","18,706","17,453","18,664"
01/19/2023,"17,357","17,683","17,263","17,498"
01/18/2023,"17,823","17,992","17,131","17,359"
01/17/2023,"17,656","17,904","17,469","17,823"
01/16/2023,"17,462","17,893","17,296","17,655"
01/15/2023,"17,464","17,602","17,194","17,462"
01/14/2023,"16,559","17,718","16,504","17,454"
01/13/2023,"15,739","16,600","15,648","16,559"
01/12/2023,"14,670","15,919","14,637","15,727"
01/11/2023,"14,602","14,681","14,475","14,670"
01/10/2023,"14,364","14,613","14,317","14,602"
01/09/2023,"14,168","14,538","14,165","14,364"
01/08/2023,"14,157","14,211","14,132","14,166"
01/07/2023,"14,146","14,189","14,129","14,157"
01/06/2023,"14,076","14,206","13,952","14,146"
01/05/2023,"14,055","14,076","14,014","14,076"
01/04/2023,"13,927","14,188","13,905","14,055"
01/03/2023,"13,975","14,037","13,878","13,927"
01/02/2023,"13,864","14,003","13,824","13,975"
01/01/2023,"13,828","13,885","13,780","13,864"
12/31/2022,"13,851","13,899","13,821","13,829"
12/30/2022,"13,870","13,908","13,654","13,851"
12/29/2022,"13,801","13,918","13,769","13,870"
12/28/2022,"13,953","14,004","13,769","13,801"
12/27/2022,"14,055","14,169","13,873","13,953"
12/26/2022,"14,057","14,130","14,033","14,055"
12/25/2022,"14,068","14,091","13,991","14,057"
12/24/2022,"14,051","14,092","14,009","14,068"
12/23/2022,"14,030","14,122","14,012","14,051"
12/22/2022,"14,029","14,090","13,845","14,030"
12/21/2022,"14,107","14,141","13,978","14,029"
